param1_name,param1_value,param2_name,param2_value,params,f1_mean_fitness,f2_mean_fitness,fitness_diff,f1_ci_lower,f1_ci_upper,f2_ci_lower,f2_ci_upper,f1_win_rate,ci_overlap
memory_decay,0.8,memory_growth,2.5,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 2.5, 'steepness': 0.6}",139.32000000000002,138.905,0.41500000000002046,137.37020339283433,141.26979660716572,136.74462459246348,141.06537540753652,0.6,True
memory_decay,0.9,memory_growth,0.5,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 0.5, 'steepness': 0.6}",138.53000000000003,138.61000000000004,-0.0800000000000125,136.8766364995585,140.18336350044157,136.4183971316855,140.80160286831457,0.6,True
memory_decay,0.9,memory_growth,1.0,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.0, 'steepness': 0.6}",139.42500000000004,138.335,1.0900000000000318,137.67024158886733,141.17975841113275,136.2124807304249,140.45751926957513,0.7,True
memory_decay,0.9,memory_growth,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.6}",139.97,138.495,1.4749999999999943,137.8653807643492,142.0746192356508,136.27135602518183,140.71864397481818,0.75,True
memory_decay,0.9,memory_growth,2.5,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 2.5, 'steepness': 0.6}",140.08,139.26,0.8200000000000216,137.88321144071003,142.27678855929,137.0958964412059,141.4241035587941,0.6,True
memory_decay,0.95,memory_growth,0.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 0.5, 'steepness': 0.6}",139.18000000000006,138.235,0.94500000000005,137.40891131809462,140.9510886819055,136.33468830274907,140.13531169725096,0.65,True
memory_decay,0.95,memory_growth,1.0,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.0, 'steepness': 0.6}",139.95999999999998,138.83499999999998,1.125,137.8913863549168,142.02861364508317,136.83110456534203,140.83889543465793,0.6,True
memory_decay,0.95,memory_growth,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.6}",140.36999999999998,138.64499999999995,1.7250000000000227,138.0976568152682,142.64234318473174,136.96601022550124,140.32398977449867,0.7,True
memory_decay,0.95,memory_growth,2.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 2.5, 'steepness': 0.6}",140.89000000000001,139.45999999999998,1.4300000000000352,138.8840561277254,142.89594387227464,137.84870771321613,141.07129228678383,0.6,True
memory_decay,0.99,memory_growth,0.5,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 0.5, 'steepness': 0.6}",141.40000000000003,139.36499999999998,2.0350000000000534,139.64326357259804,143.15673642740202,137.3742644784565,141.35573552154347,0.65,True
memory_decay,0.99,memory_growth,1.0,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.0, 'steepness': 0.6}",141.205,139.12499999999994,2.0800000000000693,139.25326060676343,143.1567393932366,137.43169343124276,140.81830656875712,0.7,True
memory_decay,0.99,memory_growth,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 1.5, 'steepness': 0.6}",140.845,139.05499999999998,1.7900000000000205,138.8612141907212,142.8287858092788,137.22602275642978,140.88397724357017,0.6,True
memory_decay,0.99,memory_growth,2.5,"{'selection_strength': 1.0, 'memory_decay': 0.99, 'memory_growth': 2.5, 'steepness': 0.6}",140.695,139.00499999999997,1.6900000000000261,138.7490577569388,142.64094224306118,137.21540001407848,140.79459998592145,0.6,True
memory_decay,0.8,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.1}",139.28000000000003,138.945,0.3350000000000364,137.32424082453488,141.23575917546518,136.83155975274093,141.05844024725906,0.55,True
memory_decay,0.8,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.4}",139.39000000000004,139.07000000000002,0.3200000000000216,137.52072173353181,141.25927826646827,136.81701785285588,141.32298214714416,0.6,True
memory_decay,0.8,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 0.8}",139.33500000000004,138.92000000000002,0.41500000000002046,137.57955846993326,141.0904415300668,136.8134918357031,141.02650816429693,0.6,True
memory_decay,0.8,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.8, 'memory_growth': 1.5, 'steepness': 1.5}",138.87000000000006,139.12000000000003,-0.24999999999997158,137.32520913712193,140.4147908628782,137.07057948054978,141.16942051945028,0.6,True
memory_decay,0.9,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.1}",139.70500000000007,138.66,1.0450000000000728,137.7097988586531,141.70020114134704,136.6282738212662,140.6917261787338,0.6,True
memory_decay,0.9,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.4}",140.01500000000004,138.77999999999997,1.2350000000000705,138.01761596565356,142.01238403434652,136.52642948596167,141.03357051403827,0.7,True
memory_decay,0.9,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 0.8}",139.63500000000005,138.33499999999998,1.3000000000000682,137.50862792070146,141.76137207929864,136.16632666153572,140.50367333846424,0.75,True
memory_decay,0.9,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.9, 'memory_growth': 1.5, 'steepness': 1.5}",139.445,137.40499999999997,2.0400000000000205,137.50826214513387,141.38173785486612,135.55889539472886,139.25110460527108,0.65,True
memory_decay,0.95,steepness,0.1,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.1}",140.675,139.71499999999997,0.9600000000000364,138.63554474693345,142.71445525306657,137.58256440045,141.84743559954995,0.65,True
memory_decay,0.95,steepness,0.4,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.4}",140.60500000000002,139.16999999999996,1.4350000000000591,138.33476956040053,142.8752304395995,137.23542855172818,141.10457144827174,0.7,True
memory_decay,0.95,steepness,0.8,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 0.8}",140.98000000000005,139.015,1.9650000000000603,138.78111332598553,143.17888667401456,137.31019943166658,140.7198005683334,0.65,True
memory_decay,0.95,steepness,1.5,"{'selection_strength': 1.0, 'memory_decay': 0.95, 'memory_growth': 1.5, 'steepness': 1.5}",141.26500000000004,139.275,1.9900000000000375,139.24963153053866,143.28036846946142,137.5061730659286,141.0438269340714,0.65,True
